,assignee_city,assignee_state,assignee_country,assignee_key_id,patent_number,patent_title
747,Wilmington,DE,US,49045,11618996,Fabric having a cut-resistant coating comprising para-aramid particles
748,Denver,CO,US,8046,11618997,Reinforced polymeric nonwoven mat for carpet tiles
749,Greensboro,NC,US,73645,11618998,Method of dyeing textiles with lignin
750,Rochester,NH,US,5295,11619001,Infinity shape coils for industrial fabrics
751,Rochester,NH,US,5295,11619002,Press fabric for a textured product
752,Charleston,SC,US,204216,11619005,Seamed press felt with monofilament seam support yarns
753,Neenah,WI,US,2491,11619006,Three-dimensional papermaking belt
754,Alpharetta,GA,US,219705,11619007,Vegetable paper comprising fibres of a plant
755,Neenah,WI,US,2491,11619008,Smooth and bulky tissue
756,Paragould,AR,US,14758,11619010,Roller tube concrete paver with retractable vibrator assembly
757,Brooklyn Park,MN,US,8011,11619012,Rotor depth visual indication zones
758,Brooklyn Park,MN,US,8011,11619013,Milling machine having a tip over warning system
759,West Melbourne,FL,US,30463,11619014,Composite structural panel and method of fabrication
760,Orrville,OH,US,62135,11619016,Multi-position snowplow blade with translatable trip edge
761,Peoria,IL,US,191,11619026,Motor grader suspended mass ride control
762,New Holland,PA,US,278,11619027,System for connecting different auxiliary implements to a work vehicle for hydraulic control and related auxiliary hydraulic manifold
763,Peoria,IL,US,191,11619029,System and method for coupled work tool identification
764,Peoria,IL,US,191,11619031,Retention system for motor grader bits
765,Bentonville,AR,US,900,11619032,Configurable manifold water distribution system
766,Atlanta,GA,US,5043,11619033,Self-contained hydrant monitoring system
767,Lakeville,MN,US,339194,11619034,Foldable hydrant marker
768,Asheboro,NC,US,51465,11619037,Pre-rinse tank with managed flow release
769,San Francisco,CA,US,107606,11619039,Three-dimensional printed building components and structures
770,Glenview,IL,US,1591,11619042,Waterproof membrane with cross-laminated film
771,Plattsburgh,NY,US,85333,11619042,Waterproof membrane with cross-laminated film
772,Malvern,PA,US,30431,11619044,Plasterboards and methods for making them
773,Irvine,CA,US,465224,11619048,Non-slip reinforcing bar coupler
774,Carlisle,PA,US,47250,11619049,Hook and fleece roofing system with rolled up adhesive release layer and method of application
775,Beaver Dam,KY,US,162715,11619050,Returned stair tread having moisture compensating joint and method for making the same
776,Ferndale,MI,US,418933,11619052,Railing and support structures with internal illumination
777,Los Angeles,CA,US,76066,11619056,Surface gravity wave generator and wave pool
778,Carlsbad,CA,US,67457,11619060,Robotic pool cleaner with extended brush assembly
779,San Juan,PR,US,7142,11619061,System for controlling structural vibrations of a multi-story vertical structure
780,Charlotte,NC,US,95819,11619062,Utility structure with retractable mast
781,Pittsburgh,PA,US,49844,11619064,Modular crypt and modular crypt system with niche side wall
782,Benton Harbor,MI,US,1070,11619065,Microwave door push button assembly
783,Oceanside,CA,US,4770,11619066,"Arm-receiving door handle assembly, sliding lock assembly, and system thereof"
784,Phoenix,AZ,US,26142,11619071,Exit device for high wind environments
785,Boca Raton,FL,US,607,11619072,Security tag with non-magnetic 3-ball clutch
786,Thorofare,NJ,US,17946,11619073,Locking sled security device
787,Troy,MI,US,15045,11619076,Cable return assist assembly for vehicle latch mechanism
788,Dearborn,MI,US,217,11619077,Vehicular storage box
789,Dearborn,MI,US,217,11619079,Vehicle powered closure handle assembly and powered closure actuating method
790,Concordville,PA,US,9053,11619080,Multi-point latching system
791,Santa Clara,CA,US,17810,11619081,Decoupled latch
792,Hickory,NC,US,1248,11619082,Monopole door hinges and assemblies
793,Oxnard,CA,US,175374,11619090,Composite fenestration assembly
794,Lewisville,TX,US,26060,11619091,Insulated architectural covering systems and methods
795,Middleton,WI,US,4978,11619092,Wheel carriage assembly with telescoping hembar
796,Middleton,WI,US,4978,11619093,Adjustable hembar
797,Orem,UT,US,3117,11619099,"Bearing assemblies, apparatuses, and methods including bearing elements"
798,Sugar Land,TX,US,587,11619100,Expandable cutting tool
799,Denison,TX,US,7572,11619102,Torque wrench engagement mechanism
800,Perry,OK,US,11422,11619103,Virtual assisted makeup
801,Houston,TX,US,93,11619104,Shape memory alloy shaft alignment coupler for downhole tools
802,Houston,TX,US,40877,11619105,Apparatus and methods for piston-style drilling mud screen system
803,Houston,TX,US,93,11619106,Tool brake
804,Houston,TX,US,57805,11619107,Rotating control device for jackup rigs
805,Houston,TX,US,93,11619108,Bridge plugs with barrier sleeves
806,Houston,TX,US,4423,11619110,System and method for an intelligent quick connect disconnect connector (QCDC)
807,Odessa,TX,US,20569,11619111,Vortex de-sanding system for high abrasion applications
808,Houston,TX,US,93,11619112,Rotating cutter apparatus for reducing the size of solid objects in a fluid
809,Rockville,MD,US,354528,11619113,Well-fouling abatement system and method for wells
810,Houston,TX,US,93,11619115,Real-time monitoring and control of diverter placement for multistage stimulation treatments
811,Millsap,TX,US,4509,11619118,Integrated wiring gun and method
812,Phoenix,AZ,US,43101,11619119,Downhole gun tube extension
813,Asheville,NC,US,72356,11619120,"Environmentally friendly, reliable, scalable, and efficient micro-turbine electric generator system"
814,Houston,TX,US,39244,11619122,Methods and systems for operating a fleet of pumps
815,Houston,TX,US,93,11619123,Dual synchronized measurement puck for downhole forces
816,Sugar Land,TX,US,587,11619124,System and methodology to identify milling events and performance using torque-thrust curves
817,Houston,TX,US,93,11619126,Estimate active-adjacent borehole interference severity
818,Houston,TX,US,525,11619128,Electronics assemblies for downhole use
819,Houston,TX,US,93,11619129,Estimating formation isotopic concentration with pulsed power drilling
820,Houston,TX,US,93,11619130,Ferrofluidic sealing technology for sampling while rotating and drilling
821,Santa Monica,CA,US,71824,11619133,Rotational engine with inner and outer rings
822,Farmington,CT,US,712,11619136,Fatigue resistant blade outer air seal
823,Indianapolis,IN,US,2883,11619137,CMAS traps for gas turbine engines
824,Farmington,CT,US,712,11619138,Double brush seal assembly
825,Cerritos,CA,US,125843,11619140,Producing power with turboexpander generators based on specified output conditions
826,Alameda,CA,US,93105,11619144,Thermal energy storage system with steam generator having feedback control
827,Schenectady,NY,US,94,11619145,Coordinated combined cycle power plant response for block loading in grid restoration
828,Indianapolis,IN,US,3153,11619146,Two-phase thermal pump
829,Bloomfield,CT,US,39659,11619147,Valve actuation system comprising parallel lost motion components deployed in a rocker arm and valve bridge
830,Blaine,WA,US,57804,11619149,Compact engine brake with pressure-control reset
831,Columbus,IN,US,5122,11619150,Lubrication fluid storage system with venting
832,Columbus,IN,US,1579,11619152,Crankcase ventilation systems having a swirl breaker to reduce pressure drop in tangentially exiting fluids
833,Chicago,IL,US,197,11619155,Metal catalytic converter system for auxiliary power unit and automobile engine exhausts
834,Moline,IL,US,110,11619156,Heater control for engine exhaust
835,Cleveland,OH,US,400973,11619161,Fan speed control system for engine cooling
836,Danbury,CT,US,20891,11619167,Energy storage for combustion turbine using molten carbonate electrolyzer cell
837,Indianapolis,IN,US,3153,11619170,Gas turbine engine with radial turbine having modulated fuel cooled cooling air
838,Schenectady,NY,US,94,11619171,Method to condition and control supercritical liquefied petroleum gases fuel flow for operation in gas turbines
839,Schenectady,NY,US,94,11619172,Detonation combustion systems
840,Farmington,CT,US,712,11619174,Combustor to vane sealing assembly and method of forming same
841,Grand Rapids,MI,US,799,11619177,Combustion engine including turbomachine
842,Dearborn,MI,US,217,11619179,Methods and system for controlling an engine with two throttles
843,Bloomfield,CT,US,39659,11619180,Valve actuation system comprising lost motion and high lift transfer components in a main motion load path
844,Norwalk,CT,US,1001,11619183,Methods and systems for multi-fuel engine
845,Columbus,IN,US,5122,11619187,Optimizing combustion recipes to improve engine performance and emissions for variable displacement engines
846,San Jose,CA,US,32564,11619187,Optimizing combustion recipes to improve engine performance and emissions for variable displacement engines
847,Torrance,CA,US,3833,11619189,Integrated optimization and control of an engine and aftertreatment system
848,Dearborn,MI,US,217,11619190,Methods and system for estimating engine torque at low temperatures
849,Chicago,IL,US,197,11619192,Synergistic hybrid propulsion
850,Patterson,OH,US,1091,11619193,Scramjet isolator
851,Palm Harbor,FL,US,401503,11619194,Fuel booster system
852,Dearborn,MI,US,217,11619196,Methods and systems for diagnosing degradation or alteration in an evaporative emission control system
853,Dearborn,MI,US,217,11619201,Methods and system for reserving torque for engine starting
854,Rancho Santa Fe,CA,US,159212,11619202,Control system for an electric generator
855,Cookeville,TN,US,4316,11619204,Wind aeolipile
856,Schenectady,NY,US,94,11619206,System and method for controlling a power generating unit
857,Schenectady,NY,US,94,11619210,"Gearbox system for a wind turbine, wind turbine with a gearbox system, and method for operating a gearbox system"
858,Fenton,MO,US,26219,11619213,Renewable power generation system and method
859,Irvine,CA,US,268721,11619219,Multi-chamber wobble plate pump with asymmetric inlet valve
860,Armonk,NY,US,86,11619225,Identifying potential problems in a pumpjack
861,Sidney,OH,US,2679,11619228,Compressor having directed suction
862,Ocala,FL,US,88180,11619235,Dual priming system for a pump
863,Farmington,CT,US,712,11619237,Carbon seal assembly
864,Cantril,IA,US,204612,11619239,Turbo charger with compressor wheel
865,Atlanta,GA,US,3327,11619241,Ventilation fan installation system
866,Charlotte,NC,US,2091,11619246,Fail-fixed hydraulic actuator
867,Austin,TX,US,86221,11619247,Flexible fluid flow modifying device
868,Detroit,MI,US,2268,11619249,Vehicle driveline component having housing assembly with slugs for inhibiting relative movement between a housing member and a tube
869,Cincinnati,OH,US,39648,11619252,Wallboard anchor
870,Detroit,MI,US,188,11619254,Protective covers for weld-on fasteners and welding processes using cover-protected weld-on fasteners
871,Detroit,MI,US,188,11619255,System and method of making a crankshaft with alternate materials
872,Atlanta,GA,US,5043,11619259,Fire hydrant
873,Aston Mills,PA,US,102879,11619263,Externally pressurized oil-free freon bearing
874,Orem,UT,US,3117,11619264,"Bearing assemblies, apparatuses, and methods including bearing elements"
875,Oxford,CT,US,58470,11619266,Self lubricating titanium aluminide composite material
876,Milwaukee,WI,US,6074,11619269,Actuator anti-rotation bracket positioning device
877,Auburn Hills,MI,US,762,11619273,Viscous coupling
878,Peoria,IL,US,191,11619274,"Dual brake slack adjuster and systems, components, and methods thereof"
879,Washington,DC,US,2394,11619277,Fluid-filled frequency-tunable vibration damper
880,Duluth,GA,US,6577,11619278,Methods and apparatus for suspension adjustment
881,Menlo Park,CA,US,5971,11619280,Nanovoided polymer for hybrid adaptive vibration control
882,Providence,RI,US,941,11619295,Bypass block for unregulated gearboxes
883,Maumee,OH,US,31623,11619302,Actuation mechanism
884,Menlo Park,CA,US,2431,11619303,Piston seal with solid lubricant applicator
885,Farmington,CT,US,712,11619309,Non-contact seal for rotational equipment with axially expended seal shoes
886,Chicago,IL,US,197,11619311,"Flow control valve, a method of assembly, and a hydraulic system"
887,Atlanta,GA,US,5043,11619312,Revolver bypass valve
888,New York,NY,US,44309,11619320,Valve system
889,Wauconda,IL,US,220774,11619324,Structural fastener
890,Hilshire Village,TX,US,292152,11619326,Anti-vibration mount
891,Simi Valley,CA,US,6102,11619328,Method of adapting electronic equipment structure for cable management
892,Cumming,GA,US,118484,11619329,Pipe for easy assembly and separation and suction pipe for vacuum cleaner including the same
893,Palmyra,NY,US,85518,11619331,Gasket having interlocked inner diameter seal element
894,Roseville,MN,US,8834,11619334,Fluid couplings
895,Perry,OK,US,11422,11619336,Pipe slitting machine with rope storage reel
896,Fort Collins,CO,US,6081,11619343,Multi-function controller mount
897,Oxford,CT,US,114269,11619345,Automatic lubricator for lubricating an object
898,Chicago,IL,US,32992,11619346,"Modular digital filter, regulator and lubricator connector and system"
899,White Plains,NY,US,8649,11619351,Defuel priority panel
900,Colchester,VT,US,48979,11619356,Hot tap system and method for coated ductwork
901,Brooklyn,NY,US,229824,11619358,Portable solar lighting devices
902,Troy,MI,US,35310,11619360,Hybrid headlamp systems and methods
903,Dunwoody,GA,US,504165,11619370,Pivot device for a navigation light
904,Rolling Meadows,IL,US,5896,11619371,Low voltage power supply for a merchandise display system
905,Brookfield,WI,US,567,11619372,Area light
906,Pico Rivera,CA,US,18958,11619373,Lighting device or lamp with configurable beam angle and/or profile
907,Boise,ID,US,352,11619375,Solid state lights with cooling structures
908,Zeeland,MI,US,46947,11619376,Illumination assembly including thermal energy management
909,Berkeley Heights,NJ,US,52552,11619377,Light with expanding compression member
910,Memphis,TN,US,245823,11619378,Container apparatus and method of using same
911,Kettering,OH,US,163421,11619382,Adjustable fuel orifice
912,Madison,SD,US,44302,11619383,Burn bucket
913,Miamisburg,OH,US,163421,11619385,Ignition system
914,Indianapolis,IN,US,2883,11619387,Liner for a combustor of a gas turbine engine with metallic corrugated member
915,Indianapolis,IN,US,3153,11619387,Liner for a combustor of a gas turbine engine with metallic corrugated member
916,Des Moines,IA,US,48488,11619388,Dual fuel gas turbine engine pilot nozzles
917,Atlanta,GA,US,115692,11619389,Modular firestarter assembly
918,Miami Beach,FL,US,386473,11619390,Modular assembly for electric fireplace
919,Miami Beach,FL,US,386473,11619391,Modular assembly for electric fireplace
920,Benton Harbor,MI,US,1070,11619393,User interface display for cooking appliance
921,Needham,MA,US,2172,11619394,Cooking devices and components thereof
922,Benton Harbor,MI,US,1070,11619396,Insulation film
923,Benton Harbor,MI,US,1070,11619397,Snap spring clip for burner unit mounting
924,Westfield,MA,US,25768,11619400,Networked boiler system and method
925,San Francisco,CA,US,120390,11619402,Modular air conditioning system
926,Denver,CO,US,142128,11619407,System and method for equipment management and service
927,Charlotte,NC,US,180,11619414,"System to profile, measure, enable and monitor building air quality"
928,Hartford,WI,US,4407,11619417,Contact wheel drive
929,Glenview,IL,US,1591,11619418,Air diffuser
930,Maryland Heights,MO,US,74709,11619419,Ductless air distribution system
931,Northbrook,IL,US,30352,11619424,Geothermal heat containment barrier
932,Monet,FL,US,2393,11619428,Integrated separator and distributor
933,Chesterfield,MO,US,1724,11619429,Stepper motor control valves for refrigerant expansion and/or system controls
934,Stone Mountain,GA,US,59372,11619430,Cooling system with vertical alignment
935,Monet,FL,US,2393,11619431,Method of defrosting a multiple heat absorption heat exchanger refrigeration system
936,Monet,FL,US,2393,11619432,Heat pump system
937,Annapolis,MD,US,439006,11619435,Apparatus for making clear ice
938,Miramar Beach,FL,US,177939,11619436,Containers and methods and devices for enhancing thermal energy transfer between container contents and external environment
939,Salem,NH,US,21759,11619437,Evaporator defrost by means of electrically resistive coating
940,Wilmington,DE,US,2400,11619438,Toggle handle for an appliance
941,Dearborn,MI,US,217,11619440,Vehicle refrigerated compartment and method of controlling
942,Danbury,CT,US,2036,11619442,Method for regenerating a pre-purification vessel
943,Hudson,NC,US,253579,11619444,Lumber drying kiln including bidirectional push-pull air circulation
944,Spokane,WA,US,23408,11619448,Scrap submergence device
945,Stuart,FL,US,167811,11619449,Melting kettle
946,Smyrna,TN,US,47609,11619450,Stand alone copper burner panel for a metallurgical furnace
947,Benton Harbor,MI,US,1070,11619451,Oven having an imaging device
948,Charlotte,NC,US,2052,11619457,"Thermal controller, thermal control system and thermal control method for hardware devices"
949,Anoka,MN,US,3363,11619460,Electronic magazine loader
950,Severance,CO,US,103665,11619462,Gun temperature identification system and methods of use thereof
951,Arlington,VA,US,197,11619463,"Aircraft gun-blast diffusers, plugs for aircraft gun-blast diffusers, and methods of making such plugs"
952,Katy,TX,US,91085,11619464,Firearm mounting device
953,Memphis,MI,US,41802,11619468,Macro alignment reticle sight system
954,Satellite Beach,FL,US,366118,11619469,Automated fire control device
955,Midland School,CA,US,200122,11619470,Systems and methods of calculating a ballistic solution for a projectile
956,Scottsdale,AZ,US,19874,11619471,Warning system for a conducted electrical weapon
957,Liverpool,PA,US,205956,11619472,Heavy blade expandable broadhead
958,Nashua,NH,US,8286,11619473,Command mixing for roll stabilized guidance kit on gyroscopically stabilized projectile
959,Chicago,IL,US,197,11619474,Targeting systems and methods
960,Falls Church,VA,US,8753,11619476,Munition with controlled self neutralization
961,Apex,NC,US,18962,11619477,Insert molded metal case plates
962,Evansdale,FL,US,1196,11619481,Coordinate measuring device
963,Mead,CO,US,91723,11619482,Method for evaluating machined electrodes
964,Madison,IN,US,133715,11619485,Hybrid 3D optical scanning system
965,San Jose,CA,US,3912,11619492,Sensor linearization based upon correction of static and frequency-dependent non-linearities
966,Melbourne,FL,US,12382,11619493,Optical gyroscope with weak measurement amplification readout
967,Santa Monica,CA,US,3367,11619501,Avatar based on trip
968,San Francisco,CA,US,9358,11619502,Monitoring autonomous vehicle route conformance for improved efficiency
969,Chicago,IL,US,47986,11619503,Systems and methods for route management
970,Armonk,NY,US,86,11619504,Transportation arrangement system utilizing artificial intelligence
971,San Francisco,CA,US,10308,11619505,Autonomous vehicle intermediate stops
972,Bellevue,WA,US,60224,11619508,Systems and methods for adaptive content filtering
973,Plano,TX,US,2115,11619511,System and method for local storage based mapping
974,Seattle,WA,US,206,11619512,Device for presenting augmented delivery routes
975,Georgetown,TX,US,14012,11619518,System and method of directional sensor calibration
976,Austin,TX,US,2022,11619519,Predictive sensor tracking optimization in multi-sensor sensing applications
977,Ocala,FL,US,88180,11619526,Fire truck pump flow prediction system
978,Boulder,CO,US,11635,11619527,Ultrasonic transducer with a sealed 3D-printed mini-horn array
979,New Holland,PA,US,278,11619530,System and method for detecting an operational status of a tool of an agricultural implement based on fluid flow
980,Maddux Spring,AR,US,49623,11619531,System and method for reducing gas break out in MPD metering with back pressure
981,Boca Raton,FL,US,150666,11619532,"Replaceable, gamma sterilizable Coriolis flow sensors"
982,Purchase,NY,US,3719,11619533,Container for dosing a flowable solid
983,Charlotte,NC,US,180,11619534,System and method for measuring saturated steam flow using redundant measurements
984,Lincolnshire,IL,US,5668,11619539,Inadvertent subsequent scan prevention for symbology reader with weighing platter
985,Pineville,NC,US,148878,11619552,Conduit temperature monitoring system
986,Portland,OR,US,2913,11619554,Deformable sensors with selective restraint
987,Charlotte,NC,US,2091,11619560,Pressure ripple mitigation in pressure sensors
988,Farmington,CT,US,712,11619567,Multi-mode microwave waveguide blade sensing system
989,Dayton,OH,US,115235,11619569,Tissue planing assemblies and methods
990,Patterson,OH,US,1091,11619570,Filter-based air sampler capable of integration into small unmanned aerial vehicles
991,Minneapolis,MN,US,4874,11619573,Test method for evaluating textile fabric performance
992,Armonk,NY,US,86,11619576,Corrosive substance detection using hydrophilic gel for improved corrosion exposure detection in electronic devices
993,Pasadena,CA,US,50,11619577,System for analyzing a test sample and method therefor
994,Chicago,IL,US,2523,11619580,Resonator-based ion-selective sensor
995,Chicago,IL,US,4932,11619580,Resonator-based ion-selective sensor
996,West Lafayette,IN,US,2192,11619581,Method of phase contrasting
997,San Diego,CA,US,85133,11619582,Retroreflectometer for non-contact measurements of optical characteristics
998,Washington,DC,US,12851,11619583,Highly stable semiconductor lasers and sensors for III-V and silicon photonic integrated circuits
999,Stanford,CA,US,957,11619585,Rapid axial scanning for light sheet microscopy using a phased array
1000,Mountain View,CA,US,1111,11619586,System for imaging and selective illumination of targets within a sample
1001,Camarillo,CA,US,170010,11619588,Portable analyzer
1002,Glencoe,MD,US,532223,11619590,Method and composition for detecting and quantifying filming amines in liquids
1003,Milpitas,CA,US,5830,11619592,Selecting defect detection methods for inspection of a specimen
1004,Santa Clara,CA,US,689,11619594,Multiple reflectometry for measuring etch parameters
1005,Glenview,IL,US,1591,11619597,Dual robot control systems for non-destructive evaluation
1006,Leonidas,TX,US,86219,11619598,"Systems, apparatuses, and methods for measuring submerged surfaces"
1007,Palo Alto,CA,US,1601,11619601,Sorbent based gas concentration monitor
1008,Toledo,OH,US,3140,11619603,Sensor system for detecting of a presence and a phase of a medium on a surface and methods of using the same
1009,Addison,TX,US,1399,11619604,Bipolar electrode bubble detection method and apparatus
1010,Brooklyn,NY,US,221792,11619606,"Methods, processes, and apparatus for depositing nanosensors on low surface energy substrates"
1011,Waco,TX,US,37660,11619611,System and method for real-time visualization of defects in a matertial
1012,Durham,NC,US,3658,11619613,Thermoacoustic measurement probe
1013,Ann Arbor,MI,US,55217,11619613,Thermoacoustic measurement probe
1014,Armonk,NY,US,86,11619618,Sensor tuning—sensor specific selection for IoT—electronic nose application using gradient boosting decision trees
1015,New Haven,CT,US,164114,11619619,Methods for validating medication
1016,Austin,TX,US,11189,11619620,Systems and methods for automated wetstock management
1017,Houston,TX,US,93,11619621,Application of electrochemical impedance spectroscopy in drilling fluid composition measurements
1018,Brea,CA,US,3574,11619623,Integrated sample processing system with variable workflows
1019,Singapore,,SG,13685,11619623,Integrated sample processing system with variable workflows
1020,Palisades Park,NJ,US,167610,11619626,Replaceable alcohol sensor module
1021,Billerica,MA,US,71915,11619631,Ultra-sensitive detection of molecules or particles using beads or other capture objects
1022,Glassboro,NJ,US,46499,11619632,"Early-stage Alzheimer's disease autoantibody biomarkers, target antigens and diagnostic uses thereof"
1023,Richland,WA,US,792,11619635,Process for ultra-sensitive quantification of target analytes in complex biological systems
1024,Morrisville,NC,US,25476,11619636,Mass spectrometry assay method for detection and quantitation of kidney function metabolites
1025,Irvine,CA,US,107416,11619637,Biomarkers and diagnostic methods for Alzheimer's disease and other neurodegenerative disorders
1026,Indianapolis,IN,US,2835,11619641,Sample container carrier with data carrier for an in-vitro diagnostics system
1027,Austin,TX,US,213898,11619653,Testing apparatus incorporating electrical connector
1028,Beaverton,OR,US,2333,11619657,Frequency converter accessory for a test and measurement instrument
1029,Dallas,TX,US,487,11619658,Semiconductor integrated fluxgate device shielded by discrete magnetic plate
1030,Chicago,IL,US,2523,11619660,Electrometry by optical charge conversion of defects in the solid-state
1031,Santa Clara,CA,US,1026,11619661,On-die techniques for converting currents to frequencies
1032,Armonk,NY,US,86,11619665,Electrical apparatus having tin whisker sensing and prevention
1033,Santa Rosa,CA,US,8931,11619666,Source measure apparatus including feedback path and measurement path
1034,Peoria,IL,US,191,11619670,System and method for detecting winding faults in a generator
1035,Attleboro,MA,US,1802,11619673,Lifetime battery tracking using a wireless interface
1036,Charlotte,NC,US,12039,11619675,On-board capacitor health monitoring systems and methods
1037,Atlanta,GA,US,8588,11619676,Systems and methods for determining vehicle battery health
1038,Schenectady,NY,US,94,11619691,Integrated cooling circuit for use with a superconducting magnet
1039,Wauwatosa,WI,US,835,11619692,"Method for acquiring and processing MR data, MRI system and method, and storage medium"
1040,Beaverton,OR,US,2333,11619697,Calibration of magnetic field sensor for current probe
1041,Centreville,VA,US,93533,11619700,Retrospective interferometry direction finding
1042,San Diego,CA,US,30,11619702,Method and apparatus for enhanced positioning in 5G-NR using DAOD and DAOA
1043,Boston,MA,US,26054,11619703,Method and system to select a process for estimating the location of a radio device
1044,Waltham,MA,US,39,11619709,Optical system to reduce local internal backscatter
1045,San Francisco,CA,US,103019,11619710,Ranging using a shared path optical coupler
1046,Mountain View,CA,US,138553,11619714,Heat dissipation for LIDAR sensors
1047,Mountain View,CA,US,17058,11619716,Light detection and ranging (lidar) sensor system including seed modulation module
1048,Boston,MA,US,3451,11619718,Integrated optical structures for LiDAR and other applications employing multiple detectors
1049,Los Altos Hills,CA,US,363222,11619719,Time coherent network
1050,Broomfield,CO,US,260191,11619721,LiDAR and laser measurement techniques
1051,Dearborn,MI,US,217,11619722,Vehicle lidar polarization
1052,Cambridge,MA,US,308,11619722,Vehicle lidar polarization
1053,Redmond,WA,US,137,11619723,Multiple-mode frequency sharing for time-of-flight camera
1054,Santa Clara,CA,US,1026,11619724,Calibration of multiple lidars mounted on a vehicle using localization based on a high definition map
1055,Mountain View,CA,US,15581,11619726,System and method for field calibrating video and lidar subsystems using facial features
1056,Dearborn,MI,US,217,11619727,Determining multi-degree-of-freedom pose for sensor calibration
1057,Kirkland,WA,US,55036,11619730,Method and system for coded excitation imaging by impulse response estimation and retrospective acquisition
1058,Cupertino,CA,US,441,11619732,Motion detection and recognition using segmented phase and amplitude data from reflected signal transmissions
1059,Mountain View,CA,US,89,11619734,Integrated MIMO and SAR radar antenna architecture
1060,Wauwatosa,WI,US,835,11619737,Ultrasound imaging system and method for generating a volume-rendered image
1061,Mountain View,CA,US,138553,11619739,LIDAR pixel with dual polarization receive optical antenna
1062,Dublin,CA,US,96615,11619740,Hyper temporal lidar with asynchronous shot intervals and detection intervals
1063,San Diego,CA,US,30,11619745,Camera-based GNSS environment detector
1064,Waltham,MA,US,39,11619746,Systems and methods for intersensor satellite calibration
1065,Wilmington,DE,US,3396,11619749,Dosimetry device for quantification of radiation
1066,Houston,TX,US,6157,11619756,Prime number survey design
1067,Perry,OK,US,11422,11619759,Dipole locator using balanced antenna signals
1068,Houston,TX,US,1820,11619760,Efficient damped pulsed energy transmitter
1069,Sugar Land,TX,US,587,11619761,Dynamic representation of exploration and/or production entity relationships
1070,Cupertino,CA,US,441,11619762,Beam-tilting light source enclosures
1071,Portland,ND,US,3544,11619763,Identifying subterranean structures using amorphous metal markers
1072,Waltham,MA,US,39,11619764,High-performance optical surface
1073,Corning,NY,US,365,11619768,"Liquid lens module, camera module including the same, and optical device including the module"
1074,Seoul,,KR,579,11619768,"Liquid lens module, camera module including the same, and optical device including the module"
1075,San Jose,CA,US,3799,11619770,Zoned optical waveplate
1076,Okabena,MN,US,368,11619771,Optical films and systems including the same
1077,Menlo Park,CA,US,5971,11619774,Talbot pattern illuminator and display based thereon
1078,Cupertino,CA,US,441,11619779,Methods for forming image transport layers
1079,Lisle,IL,US,2302,11619780,Variable dual-directional thermal compensator for arrayed waveguide grating (AWG) modules
1080,Mountain View,CA,US,45759,11619781,Embedding LEDs with waveguides
1081,Spring,TX,US,718,11619784,Optical device having photonic-crystal lattice structure for optical interconnects
1082,San Jose,CA,US,3799,11619788,Shaped fibers for efficient beam combination
1083,Hickory,NC,US,1248,11619790,Fiber optic cable sealing device
1084,Duncan,SC,US,11870,11619791,Fiber optic tray systems
1085,East Syracuse,NY,US,19564,11619793,Stackable splitters
1086,Palo Alto,CA,US,1601,11619794,System for installing optical fiber
1087,Barneveld,WI,US,19142,11619807,Viewing optic with an integrated display system
1088,Menlo Park,CA,US,5971,11619808,Display and optical assembly with color-selective effective focal length
1089,Santa Monica,CA,US,3367,11619809,Eyewear eye-tracking using optical waveguide
1090,Saratoga,CA,US,10151,11619813,Coordinating an eye-mounted imager with an external camera
1091,Menlo Park,CA,US,5971,11619814,"Apparatus, system, and method for improving digital head-mounted displays"
1092,Menlo Park,CA,US,5971,11619815,Optical combiner including polarization-selective elements and switchable half-wave plates for pupil steering
1093,Menlo Park,CA,US,5971,11619817,Pancake lenses using Fresnel surfaces
1094,Santa Monica,CA,US,3367,11619819,Eyewear display for generating an immersive image
1095,Plantation Gardens,FL,US,21313,11619820,See-through computer display systems
1096,Okabena,MN,US,368,11619823,Optical system for displaying magnified virtual image
1097,Plantation Gardens,FL,US,4622,11619827,Polarizing beam splitter with low light leakage
1098,San Jose,CA,US,2999,11619829,Line pattern projections for three dimension display
1099,Cupertino,CA,US,441,11619830,Display with a time-sequential directional backlight
1100,Seattle,WA,US,25562,11619831,Optical designs of electronic apparatus to decrease myopia progression
1101,Huntsville,AL,US,499053,11619833,Systems and methods for optically filtering for color specific enhancement
1102,Santa Monica,CA,US,3367,11619835,Eyewear display having offset bonding
1103,Orlando,FL,US,550,11619837,"Active ir camouflage device, plasmonic system, and related methods"
1104,San Jose,CA,US,72,11619838,Optical modulator using monocrystalline and polycrystalline silicon
1105,Washington,DC,US,12851,11619847,Utilizing 2D monolayer WSe2 nanosheets as the planar-alignment agent in an electro-optical liquid crystal device to improve its optical transmission
1106,Cupertino,CA,US,441,11619851,Displays with data lines that accommodate openings
1107,Zeeland,MI,US,641,11619852,Voltage control apparatus for electro-optic element
1108,Armonk,NY,US,86,11619853,Method for age portraying and painting in electrochromic automobile sheet
1109,Ridgefield Park,NJ,US,55251,11619855,Method and apparatus for mitigating adverse effects of bonding wire of external optical modulators
1110,Gwangju,,KR,88624,11619855,Method and apparatus for mitigating adverse effects of bonding wire of external optical modulators
1111,Hanover,MD,US,1057,11619856,Suppressing leakage currents in periodic travelling wave electrode structures
1112,Cupertino,CA,US,441,11619857,Electrically-tunable optical filter
